whichPerspective,origin,n
TranscriptomePerspective,HUPT3,136
TranscriptomePerspective,DETROIT562,132
TranscriptomePerspective,BCPAP,130
TranscriptomePerspective,BHY,129
TranscriptomePerspective,OAW28,128
TranscriptomePerspective,NCIH2170,127
TranscriptomePerspective,OVK18,126
TranscriptomePerspective,LNCAPCLONEFGC,123
TranscriptomePerspective,MCF7,123
TranscriptomePerspective,HCC1428,122
TranscriptomePerspective,EKVX,121
TranscriptomePerspective,LS1034,119
TranscriptomePerspective,NCIH2347,119
TranscriptomePerspective,DANG,118
TranscriptomePerspective,MDAMB361,118
TranscriptomePerspective,SKMES1,117
TranscriptomePerspective,CAS1,114
TranscriptomePerspective,BT474,113
TranscriptomePerspective,OSRC2,112
TranscriptomePerspective,SW1088,112
TranscriptomePerspective,CCK81,110
TranscriptomePerspective,HEP3B217,110
TranscriptomePerspective,RCM1,107
TranscriptomePerspective,SW1271,107
TranscriptomePerspective,TYKNU,106
TranscriptomePerspective,NCIH1792,103
TranscriptomePerspective,MKN45,101
TranscriptomePerspective,RT4,98
TranscriptomePerspective,Dermis-Exp,96
TranscriptomePerspective,HT1376,96
TranscriptomePerspective,OUMS23,96
TranscriptomePerspective,FTC133,95
TranscriptomePerspective,SJSA1,95
TranscriptomePerspective,SKES1,84
TranscriptomePerspective,St23132,82
TranscriptomePerspective,SBC5,77
TranscriptomePerspective,RERFLCKJ,73
TranscriptomePerspective,NCIH747,70
TranscriptomePerspective,SU8686,70
TranscriptomePerspective,TOV112D,67
TranscriptomePerspective,HT1197,66
TranscriptomePerspective,HUPT4,56
GenomePerspective,SNU-16_C1D4,55
TranscriptomePerspective,HDQP1,54
GenomePerspective,SNU-668_r2_A55_seedT1,22
GenomePerspective,HGC-27_C_A45_seed,21
GenomePerspective,HGC-27_G1_A9-F_seed,21
GenomePerspective,HGC-27_G1_A9_harvesT155,21
GenomePerspective,HGC-27_G2_A9-F_seed,21
GenomePerspective,HGC-27_G2_A9_harvesT155,21
GenomePerspective,HGC-27_P1_A18K_harvest,21
GenomePerspective,HGC-27_P2_A18K_harvest,21
GenomePerspective,HGC-27_Q1_A3_seed,21
GenomePerspective,HGC-27_Q2_A3_seed,21
GenomePerspective,HGC-27_RevG2_A8_seed,21
GenomePerspective,HGC-27_RevG_A9_harvesT149,21
