"analysis_span_id","episode_id","path_position","seeding_date","passage_num","n_observations","media_id","protocol_id","recorded_owner","count_processing_state","seeding_selected_count","seeding_corrected_raw_ratio","episode_duration_days","incoming_harvest_to_seed_days","incoming_terminal_observation_weekday","duration_bin","is_branch_point","is_multiparent","episode_child_count","episode_comments","seeding_weekday","observation_day_signature"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A17_seed",19,"2025-05-02",27,2,82,"ltee_resource_deprivation","jackson","corrected_near_original",394754,1,2.93431712962963,0.0680555555555555,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A18_seed",20,"2025-05-07",28,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",455615,0.394788033706648,1.906875,2.03888888888889,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A19_seed",21,"2025-05-09",29,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",364269,0.697228267423098,3.03133101851852,0.0368981481481481,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A20_seed",22,"2025-05-14",30,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",432221,0.328535019356173,5.10381944444444,1.95428240740741,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2,5"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A21_seed",23,"2025-05-21",31,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",1009259,0.66568719016223,2.00878472222222,1.7519212962963,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A22_seed",24,"2025-05-23",32,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",497945,0.751260159351129,3.0490162037037,0.237777777777778,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A23_seed",25,"2025-05-28",33,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",1158531,0.634533355241538,1.84024305555556,1.87797453703704,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A24_seed",26,"2025-05-30",34,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",426651,0.784836042956635,3.00524305555556,0.0374768518518519,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A25_seed",27,"2025-06-04",35,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",671725,0.439184351836536,1.75510416666667,2.18547453703704,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A26_seed",28,"2025-06-06",36,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",339761,0.794270218461071,2.79763888888889,0.141863425925926,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
