"arm","analysis_span_id","path_position","episode_depth","passage_num","episode_id","seeding_date","last_harvest_date","seeding_media_id","seeding_media_label","media_transition_from_previous","source_media_run","incoming_harvest_to_seed_days","harvest_observation_count","episode_duration_days","episode_parent_count","episode_child_count","episode_is_branch_point","episode_is_multiparent","episode_qc_flags"
"C","MDAMB231_promoted_39_episodes_ignore_media",17,21,25,"MDA-MB-231_C_A15_seed","2025-04-23T11:50:13Z","2025-04-25T17:07:36Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.80063657407407,1,2.22040509259259,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",18,22,26,"MDA-MB-231_C_A16_seed","2025-04-28T16:21:03Z","2025-05-02T15:16:56Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.96767361111111,2,3.95547453703704,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",19,23,27,"MDA-MB-231_C_A17_seed","2025-05-02T16:54:56Z","2025-05-05T15:20:21Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.0680555555555555,1,2.93431712962963,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",20,24,28,"MDA-MB-231_C_A18_seed","2025-05-07T16:16:21Z","2025-05-09T14:02:15Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.03888888888889,1,1.906875,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",21,25,29,"MDA-MB-231_C_A19_seed","2025-05-09T14:55:23Z","2025-05-12T15:40:30Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.0368981481481481,1,3.03133101851852,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",22,26,30,"MDA-MB-231_C_A20_seed","2025-05-14T14:34:40Z","2025-05-19T17:04:10Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.95428240740741,2,5.10381944444444,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",23,27,31,"MDA-MB-231_C_A21_seed","2025-05-21T11:06:56Z","2025-05-23T11:19:35Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.7519212962963,1,2.00878472222222,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",24,28,32,"MDA-MB-231_C_A22_seed","2025-05-23T17:01:59Z","2025-05-26T18:12:34Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.237777777777778,1,3.0490162037037,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",25,29,33,"MDA-MB-231_C_A23_seed","2025-05-28T15:16:51Z","2025-05-30T11:26:48Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.87797453703704,1,1.84024305555556,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",26,30,34,"MDA-MB-231_C_A24_seed","2025-05-30T12:20:46Z","2025-06-02T12:28:19Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.0374768518518519,1,3.00524305555556,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",27,31,35,"MDA-MB-231_C_A25_seed","2025-06-04T16:55:24Z","2025-06-06T11:02:45Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.18547453703704,1,1.75510416666667,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",28,32,36,"MDA-MB-231_C_A26_seed","2025-06-06T14:27:02Z","2025-06-09T09:35:38Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.141863425925926,1,2.79763888888889,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",29,33,37,"MDA-MB-231_C_A27_seed","2025-06-11T15:14:35Z","2025-06-13T14:23:25Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.23538194444444,1,1.96446759259259,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",30,34,38,"MDA-MB-231_C_A28_seed","2025-06-16T12:31:36Z","2025-06-20T11:28:48Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.92234953703704,2,3.95638888888889,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",31,35,39,"MDA-MB-231_C_A29_seed","2025-06-20T12:56:39Z","2025-06-23T13:05:57Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.0610069444444444,1,3.00645833333333,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",32,36,40,"MDA-MB-231_C_A30_seed","2025-06-26T13:44:07Z","2025-06-30T11:58:25Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",3.02650462962963,2,3.92659722222222,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",33,37,41,"MDA-MB-231_C_A31_seed","2025-07-02T12:01:04Z","2025-07-05T12:08:07Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.00184027777778,1,3.00489583333333,1,1,FALSE,FALSE,
